x [pixels], y [pixels], u [pixels], v [pixels], SNR [peak/mean], valid [0 if masked], filtered [1 if filtered], avg. intensity
         0	      1024	-5.195021041	-1.842243301	34.36197083	1	0	7.517578125
        16	      1024	-5.439722534	-1.856629736	29.4612321	1	0	7.704101562
        32	      1024	-5.422550391	-1.809173792	38.27041071	1	0	    8.1875
        48	      1024	-5.451416963	-1.775548994	33.8482425	1	0	8.600585938
        64	      1024	-5.521799467	-1.778859532	27.84596219	1	0	8.419921875
        80	      1024	-5.520026638	-1.767436709	29.33828646	1	0	 8.6171875
        96	      1024	-5.582044545	-1.834995865	32.74980857	1	0	9.038085938
       112	      1024	-5.484163646	-1.847705097	23.0155936	1	0	9.022460938
       128	      1024	-5.537942601	-1.566910812	30.37060571	1	0	9.020507812
       144	      1024	-5.583703057	-1.580753918	22.29724267	1	0	9.360351562
       160	      1024	-5.48465241	-1.965146406	41.68917409	1	0	  9.765625
       176	      1024	-5.856581193	-1.839373316	47.03641227	1	0	9.529296875
       192	      1024	-5.810624339	-1.840971415	53.15842287	1	0	 8.9921875
       208	      1024	-5.492174639	-1.800424682	31.40976877	1	0	8.857421875
       224	      1024	-5.3775764	-1.69998681	35.62601185	1	0	8.654296875
       240	      1024	-5.136299599	-1.331250131	37.42907954	1	0	8.638671875
       256	      1024	-4.961056764	-1.283302315	44.3414208	1	0	8.999023438
       272	      1024	-4.929936357	-1.72053216	48.99440523	1	0	9.243164062
       288	      1024	-4.998595676	-1.815846415	55.98124839	1	0	  8.890625
       304	      1024	-5.045135204	-1.890095613	61.05329292	1	0	8.98828125
       320	      1024	-5.097478262	-2.001460376	55.63320823	1	0	9.73046875
       336	      1024	-5.155615388	-2.055066185	54.09898154	1	0	9.865234375
       352	      1024	-5.115934888	-2.116665929	56.73057947	1	0	  9.953125
       368	      1024	-4.953307545	-2.076337711	53.41803733	1	0	10.41210938
       384	      1024	-4.795078232	-2.000326254	48.27496386	1	0	10.47070312
       400	      1024	-4.547221727	-1.917542104	33.13320306	1	0	10.37988281
       416	      1024	-4.361136591	-2.090474329	35.67944812	1	0	10.55078125
       432	      1024	-5.089165223	20.3684154	13.38800574	1	0	10.87890625
       448	      1024	-6.409445966	5.081117726	12.5228139	1	0	11.44628906
       464	      1024	-4.638203327	-1.89991687	18.98492602	1	0	 11.609375
       480	      1024	-4.520007435	-1.961293087	21.65004129	1	0	11.23046875
       496	      1024	-3.883837854	-1.978219618	25.93850396	1	0	10.92773438
       512	      1024	-3.154995232	-2.202434505	18.66882803	1	0	10.90917969
       528	      1024	-2.930552285	-2.067570397	19.27565746	1	0	10.31542969
       544	      1024	-2.911305142	-2.047872404	27.59153024	1	0	 9.6796875
       560	      1024	-3.001718472	-1.876812224	34.89254546	1	0	 9.5546875
